# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       1.1623893      0.27496449     0.021877700
2.750       1.1938052      0.26562724     0.022895139
2.750       1.2252211      0.25484894     0.023746332
2.750       1.2566371      0.24477678     0.024607646
2.750       1.2880530      0.23102638     0.025011113
2.750       1.3194689      0.22184847     0.025818094
2.750       1.3508848      0.21592625     0.026966879
2.750       1.3823008      0.20649510     0.027630431
2.750       1.4137167      0.20122462     0.028803054
2.750       1.4451326      0.18899344     0.028896159
2.750       1.4765485      0.18247319     0.029758602
2.750       1.5079645      0.17837274     0.030986467
2.750       1.5393804      0.17028883     0.031469822
2.750       1.5707963      0.16571703     0.032538463
2.750       1.6022123      0.15881308     0.033091518
2.750       1.6336282      0.15250767     0.033683839
2.750       1.6650441      0.14779259     0.034562101
2.750       1.6964600      0.14475209     0.035803543
2.750       1.7278760      0.14164070     0.037016556
2.750       1.7592919      0.13430295     0.037048406
2.750       1.7907078      0.13300928     0.038692463
2.750       1.8221237      0.12829739     0.039320740
2.750       1.8535397      0.12482419     0.040269353
2.750       1.8849556      0.12060919     0.040921735
2.750       1.9163715      0.11730807     0.041825126
2.750       1.9477874      0.11416354     0.042738805
2.750       1.9792034      0.11051017     0.043405399
2.750       2.0106193      0.10840240     0.044637381
2.750       2.0734512      0.10139213     0.045788450
2.750       2.1362830     0.098348768     0.048575305
2.750       2.1991149     0.093081872     0.050150943
2.750       2.2619467     0.087841193     0.051500991
2.750       2.3247786     0.085497325     0.054421131
2.750       2.3876104     0.079338367     0.054707127
2.750       2.4504423     0.075536418     0.056306700
2.750       2.5132741     0.073869165     0.059409107
2.750       2.5761060     0.070930849     0.061432274
2.750       2.6389378     0.067516943     0.062859439
2.750       2.7017697     0.065144103     0.065086414
2.750       2.7646015     0.063484823     0.067957564
2.750       2.8274334     0.060662691     0.069465486
2.750       2.8902652     0.058723317     0.071828027
2.750       2.9530971     0.055883191     0.072909586
2.750       3.0159289     0.055254897     0.076789944
2.750       3.0787608     0.052339290     0.077379502
2.750       3.1415927     0.051543317     0.080964054
2.750       3.2044245     0.049823010     0.083052050
2.750       3.2672564     0.047808477     0.084474339
2.750       3.3300882     0.046101478     0.086248653
2.750       3.3929201     0.044668547     0.088387931
2.750       3.4557519     0.043130578     0.090174389
2.750       3.5185838     0.042144421     0.093006657
2.750       3.5814156     0.041220008     0.095927361
2.750       3.6442475     0.039900231     0.097829371
2.750       3.7070793     0.038700334     0.099880479
2.750       3.7699112     0.037857356      0.10275759
2.750       3.8327430     0.036528207      0.10419040
2.750       3.8955749     0.035856338      0.10738679
2.750       3.9584067     0.034596061      0.10870716
2.750       4.0212386     0.034159150      0.11252703
2.750       4.1469023     0.032198530      0.11632625
2.750       4.2725660     0.031515589      0.12452657
2.750       4.3982297     0.029255815      0.12610032
2.750       4.5238934     0.028711543      0.13466784
2.750       4.6495571     0.026839972      0.13667437
2.750       4.7752208     0.026102587      0.14399062
2.750       4.9008845     0.025266545      0.15067442
2.750       5.0265482     0.024155197      0.15541410
2.750       5.1522120     0.023126160      0.16023410
2.750       5.2778757     0.022003288      0.16388352
2.750       5.4035394     0.021491338      0.17177845
2.750       5.5292031     0.020616224      0.17654971
2.750       5.6548668     0.019928140      0.18255938
2.750       5.7805305     0.019501549      0.19082816
2.750       5.9061942     0.018838735      0.19662791
2.750       6.0318579     0.018415733      0.20474466
2.750       6.1575216     0.017536799      0.20741416
2.750       6.2831853     0.017023478      0.21392334
2.750       6.4088490     0.016506002      0.22011634
2.750       6.5345127     0.016167424      0.22853394
2.750       6.6601764     0.015882335      0.23770692
2.750       6.7858401     0.015428812      0.24423821
2.750       6.9115038     0.015105510      0.25265233
2.750       7.0371675     0.014865082      0.26244073
2.750       7.1628313     0.014451565      0.26905391
2.750       7.2884950     0.014031899      0.27523287
2.750       7.4141587     0.013694941      0.28275875
2.750       7.5398224     0.013330065      0.28945820
2.750       7.6654861     0.013121030      0.29940377
2.750       7.7911498     0.012758964      0.30569640
2.750       7.9168135     0.012610236      0.31698938
2.750       8.0424772     0.012255206      0.32296868
2.750       8.2938046     0.012085491      0.34929790
