# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       2.9530971       2.4263918       3.1656607
2.750       3.0159289       2.4056021       3.3431616
2.750       3.0787608       2.2954291       3.3936105
2.750       3.1415927       2.2714063       3.5679166
2.750       3.2044245       2.2036736       3.6733953
2.750       3.2672564       2.1377803       3.7773129
2.750       3.3300882       2.0618228       3.8573479
2.750       3.3929201       2.0028514       3.9631442
2.750       3.4557519       1.9468503       4.0703382
2.750       3.5185838       1.9313003       4.2621011
2.750       3.5814156       1.8685980       4.3486086
2.750       3.6442475       1.8319443       4.4916522
2.750       3.7070793       1.7798807       4.5936383
2.750       3.7699112       1.7636769       4.7872118
2.750       3.8327430       1.7074406       4.8701796
2.750       3.8955749       1.6619129       4.9772929
2.750       3.9584067       1.6236607       5.1018394
2.750       4.0212386       1.5938506       5.2504605
2.750       4.1469023       1.5293580       5.5252361
2.750       4.2725660       1.4868080       5.8747783
2.750       4.3982297       1.4022729       6.0441678
2.750       4.5238934       1.3719376       6.4348986
2.750       4.6495571       1.3015848       6.6279235
2.750       4.7752208       1.2635940       6.9704081
2.750       4.9008845       1.2325580       7.3502316
2.750       5.0265482       1.1712159       7.5355816
2.750       5.1522120       1.1319452       7.8429027
2.750       5.2778757       1.0837628       8.0720149
2.750       5.4035394       1.0530508       8.4169464
2.750       5.5292031       1.0219760       8.7518238
2.750       5.6548668      0.99183184       9.0860566
2.750       5.7805305      0.96636131       9.4561179
2.750       5.9061942      0.92833701       9.6894492
2.750       6.0318579      0.91158715       10.134953
2.750       6.1575216      0.88038649       10.412655
2.750       6.2831853      0.84444923       10.611662
2.750       6.4088490      0.82083112       10.946221
2.750       6.5345127      0.80180663       11.333904
2.750       6.6601764      0.77199230       11.554215
2.750       6.7858401      0.76409023       12.095554
2.750       6.9115038      0.74183201       12.407763
2.750       7.0371675      0.73527035       12.981085
2.750       7.1628313      0.70768848       13.175483
2.750       7.2884950      0.69150280       13.563687
2.750       7.4141587      0.65909594       13.608320
2.750       7.5398224      0.65145203       14.146078
2.750       7.6654861      0.63312335       14.447001
2.750       7.7911498      0.62382728       14.946492
2.750       7.9168135      0.61936405       15.569243
2.750       8.0424772      0.59217407       15.605912
2.750       8.2938046      0.57945717       16.747616
2.750       8.5451320      0.53972275       17.060718
2.750       8.7964594      0.51929010       17.906224
2.750       9.0477868      0.50224838       18.845857
2.750       9.2991143      0.47982425       19.546869
2.750       9.5504417      0.46525168       20.531873
2.750       9.8017691      0.45009626       21.472819
2.750       10.053096      0.43340369       22.308091
2.750       10.304424      0.42196236       23.389187
2.750       10.555751      0.40230971       23.971666
2.750       10.807079      0.39156864       25.038200
2.750       11.058406      0.38197036       26.168422
2.750       11.309734      0.36983759       27.104315
2.750       11.561061      0.35504778       27.793942
2.750       11.812388      0.34903897       29.144548
2.750       12.063716      0.33813033       30.074449
2.750       12.315043      0.32869777       31.101035
2.750       12.566371      0.31592411       31.760155
2.750       12.817698      0.30824211       32.884583
2.750       13.069025      0.29590865       33.462434
2.750       13.320353      0.29724907       35.590816
2.750       13.571680      0.28399251       35.964829
2.750       13.823008      0.27833555       37.243166
2.750       14.074335      0.26351836       37.219009
2.750       14.325663      0.26151102       38.949725
2.750       14.576990      0.25527733       40.057705
2.750       14.828317      0.24869078       41.077648
2.750       15.079645      0.23893781       41.507681
2.750       15.330972      0.23952463       43.724970
2.750       15.582300      0.22847074       43.792073
2.750       15.833627      0.22243700       44.732020
2.750       16.084954      0.21786408       45.932004
2.750       16.587609      0.20971916       48.490844
2.750       17.090264      0.20298840       51.331955
2.750       17.592919      0.19222485       53.026565
2.750       18.095574      0.18321796       54.999072
2.750       18.598229      0.17371938       56.615230
2.750       19.100883      0.16746489       59.122715
2.750       19.603538      0.16162432       61.685111
2.750       20.106193      0.15467627       63.691796
2.750       20.608848      0.14756071       65.433799
2.750       21.111503      0.14634911       69.761818
2.750       21.614157      0.13890714       71.057473
2.750       22.116812      0.13515347       74.073875
2.750       22.619467      0.12901638       75.641862
2.750       23.122122      0.12616489       79.011776
2.750       23.624777      0.12034055       80.386922
2.750       24.127432      0.11594475       82.500128
2.750       24.630086      0.10994713       83.224646
2.750       25.132741      0.10872588       87.442537
2.750       25.635396      0.10651239       90.905566
2.750       26.138051      0.10441157       94.457947
2.750       26.640706     0.099004843       94.833957
2.750       27.143361     0.097282671       98.559069
2.750       27.646015     0.093154176       99.717234
2.750       28.148670     0.091384364       103.25612
2.750       28.651325     0.088550513       105.51045
2.750       29.153980     0.087547415       109.90239
2.750       29.656635     0.084029013       111.03634
2.750       30.159289     0.083087378       115.46986
2.750       30.661944     0.078798857       115.07719
2.750       31.164599     0.077734075       119.19728
2.750       31.667254     0.074374321       119.65325
2.750       32.169909     0.073707137       124.31665
2.750       33.175218     0.070840869       131.03747
2.750       34.180528     0.067344144       136.24055
2.750       35.185838     0.064792290       142.98724
2.750       36.191147     0.061528735       147.75946
2.750       37.196457     0.057653583       150.31464
2.750       38.201767     0.056547433       159.71051
2.750       39.207076     0.053464063       163.23963
2.750       40.212386     0.052346663       172.44031
2.750       41.217696     0.048872482       173.37472
2.750       42.223005     0.048047553       183.22678
2.750       43.228315     0.045921032       187.92598
2.750       44.233625     0.044090917       193.32008
2.750       45.238934     0.042870791       201.07999
2.750       46.244244     0.041099467       205.91097
2.750       47.249554     0.038975585       208.28405
2.750       48.254863     0.039520685       224.96657
2.750       49.260173     0.038529247       233.31818
2.750       50.265482     0.035932674       231.19017
2.750       51.270792     0.035107354       239.70574
2.750       52.276102     0.035080650       253.89110
2.750       53.281411     0.033463388       256.42911
2.750       54.286721     0.032914379       266.76985
2.750       55.292031     0.030908635       264.69011
2.750       56.297340     0.030358548       274.41945
2.750       57.302650     0.028332829       270.07496
2.750       58.307960     0.029267855       293.93052
2.750       59.313269     0.028086051       296.90432
2.750       60.318579     0.028944190       321.79920
2.750       61.323889     0.026819987       313.34147
2.750       62.329198     0.027378576       335.85804
2.750       63.334508     0.026371321       339.40899
2.750       64.339818     0.024420845       329.51138
2.750       66.350437     0.023853379       352.98116
2.750       68.361056     0.025343042       410.16189
2.750       70.371675     0.022092912       390.04695
2.750       72.382295     0.022403148       430.40405
2.750       74.392914     0.023110368       482.02752
2.750       76.403533     0.021908469       495.01985
2.750       78.414153     0.020100114       490.96682
2.750       80.424772     0.019851313       523.15334
2.750       82.435391     0.018774915       532.83082
2.750       84.446011     0.018887487       576.21139
2.750       86.456630     0.017839114       584.03444
2.750       88.467249     0.016553600       580.64447
2.750       90.477868     0.016991425       637.56891
2.750       92.488488     0.016848788       675.30809
2.750       94.499107     0.015857223       677.92322
2.750       96.509726     0.016036444       730.28367
2.750       98.520346     0.015695706       760.37686
2.750       100.53096     0.015134744       779.01335
2.750       102.54158     0.015358007       838.89033
2.750       104.55220     0.015242080       882.49867
2.750       106.56282     0.014152354       867.59311
2.750       108.57344     0.013821646       896.19155
2.750       110.58406     0.013899905       952.26908
2.750       112.59468     0.013680483       989.29384
2.750       114.60530     0.013322888       1015.9743
2.750       116.61592     0.013068319       1049.9377
2.750       118.62654     0.012825984       1084.6922
2.750       120.63716     0.012219588       1086.8512
2.750       122.64778     0.012227801       1142.8722
2.750       124.65840     0.012764025       1252.6292
2.750       126.66902     0.012134316       1249.3863
2.750       128.67964     0.011972234       1292.3345
2.750       132.70087     0.011848966       1402.7234
2.750       136.72211     0.010347767       1339.7790
2.750       140.74335     0.010855598       1533.2313
2.750       144.76459     0.010996960       1690.1682
2.750       148.78583     0.010922597       1822.5559
2.750       152.80707     0.010039323       1814.7007
2.750       156.82831    0.0099728559       1948.7815
2.750       160.84954    0.0096631448       2037.2684
2.750       164.87078    0.0095877097       2176.7885
2.750       168.89202    0.0096332017       2351.0849
2.750       172.91326    0.0091185311       2388.2514
2.750       176.93450    0.0088683773       2488.5821
2.750       180.95574    0.0096892113       2908.5448
2.750       184.97698    0.0084949420       2723.8532
2.750       188.99821    0.0072895672       2493.1310
2.750       193.01945    0.0084110185       3064.2351
