# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       3.1415927       2.2822527       3.5849542
2.750       3.2044245       2.2158762       3.6937363
2.750       3.2672564       2.1443005       3.7888337
2.750       3.3300882       2.0723260       3.8769978
2.750       3.3929201       2.0116568       3.9805679
2.750       3.4557519       1.9555887       4.0886078
2.750       3.5185838       1.9283231       4.2555310
2.750       3.5814156       1.8831322       4.3824325
2.750       3.6442475       1.8376046       4.5055303
2.750       3.7070793       1.7869677       4.6119288
2.750       3.7699112       1.7608373       4.7795043
2.750       3.8327430       1.7030927       4.8577780
2.750       3.8955749       1.6645358       4.9851481
2.750       3.9584067       1.6214528       5.0949020
2.750       4.0212386       1.6025872       5.2792407
2.750       4.1469023       1.5307706       5.5303393
2.750       4.2725660       1.4913849       5.8928628
2.750       4.3982297       1.3989417       6.0298098
2.750       4.5238934       1.3781479       6.4640271
2.750       4.6495571       1.3023684       6.6319137
2.750       4.7752208       1.2655207       6.9810364
2.750       4.9008845       1.2265389       7.3143377
2.750       5.0265482       1.1767569       7.5712324
2.750       5.1522120       1.1327217       7.8482831
2.750       5.2778757       1.0817359       8.0569184
2.750       5.4035394       1.0615609       8.4849662
2.750       5.5292031       1.0192970       8.7288823
2.750       5.6548668      0.99125719       9.0807923
2.750       5.7805305      0.96932321       9.4851009
2.750       5.9061942      0.93465757       9.7554195
2.750       6.0318579      0.91437895       10.165992
2.750       6.1575216      0.87405509       10.337771
2.750       6.2831853      0.84445781       10.611770
2.750       6.4088490      0.82198790       10.961647
2.750       6.5345127      0.80152435       11.329914
2.750       6.6601764      0.78595927       11.763255
2.750       6.7858401      0.76664374       12.135976
2.750       6.9115038      0.74476726       12.456857
2.750       7.0371675      0.73528189       12.981288
2.750       7.1628313      0.70876215       13.195472
2.750       7.2884950      0.69000138       13.534237
2.750       7.4141587      0.66777356       13.787487
2.750       7.5398224      0.65346979       14.189893
2.750       7.6654861      0.63865944       14.573326
2.750       7.7911498      0.62133442       14.886765
2.750       7.9168135      0.61351627       15.422244
2.750       8.0424772      0.59423623       15.660258
2.750       8.2938046      0.57223915       16.538999
2.750       8.5451320      0.54360780       17.183525
2.750       8.7964594      0.51959424       17.916711
2.750       9.0477868      0.50613988       18.991878
2.750       9.2991143      0.47722294       19.440898
2.750       9.5504417      0.47173643       20.818050
2.750       9.8017691      0.45443901       21.679999
2.750       10.053096      0.44164786       22.732434
2.750       10.304424      0.42427416       23.517329
2.750       10.555751      0.40628923       24.208786
2.750       10.807079      0.38757524       24.782849
2.750       11.058406      0.37941112       25.993090
2.750       11.309734      0.37282517       27.323265
2.750       11.561061      0.35828245       28.047158
2.750       11.812388      0.35272553       29.452374
2.750       12.063716      0.33910225       30.160895
2.750       12.315043      0.33489363       31.687281
2.750       12.566371      0.32002596       32.172518
2.750       12.817698      0.31429958       33.530819
2.750       13.069025      0.30302963       34.267701
2.750       13.320353      0.29715386       35.579417
2.750       13.571680      0.28263091       35.792396
2.750       13.823008      0.27854781       37.271567
2.750       14.074335      0.26931952       38.038358
2.750       14.325663      0.26320478       39.201995
2.750       14.576990      0.25613077       40.191625
2.750       14.828317      0.25189719       41.607268
2.750       15.079645      0.24512192       42.581970
2.750       15.330972      0.24179849       44.140060
2.750       15.582300      0.23048152       44.177488
2.750       15.833627      0.23118032       46.490300
2.750       16.084954      0.22056451       46.501332
2.750       16.587609      0.21481877       49.669968
2.750       17.090264      0.20432478       51.669900
2.750       17.592919      0.19532960       53.883032
2.750       18.095574      0.18133112       54.432673
2.750       18.598229      0.17511385       57.069688
2.750       19.100883      0.17145859       60.532674
2.750       19.603538      0.16271489       62.101337
2.750       20.106193      0.16114032       66.353529
2.750       20.608848      0.14977802       66.417033
2.750       21.111503      0.14790846       70.505127
2.750       21.614157      0.14151967       72.393905
2.750       22.116812      0.13837120       75.837420
2.750       22.619467      0.13295308       77.949938
2.750       23.122122      0.12692150       79.485609
2.750       23.624777      0.12407410       82.880911
2.750       24.127432      0.12084183       85.984632
2.750       24.630086      0.11601962       87.821229
2.750       25.132741      0.11227395       90.296067
2.750       25.635396      0.10915378       93.159928
2.750       26.138051      0.10780403       97.526994
2.750       26.640706      0.10344984       99.091691
2.750       27.143361      0.10209964       103.43924
2.750       27.646015     0.096996867       103.83066
2.750       28.148670     0.095214588       107.58393
2.750       28.651325     0.091214227       108.68434
2.750       29.153980     0.090079634       113.08120
2.750       29.656635     0.085587489       113.09571
2.750       30.159289     0.082888396       115.19332
2.750       30.661944     0.082752463       120.85100
2.750       31.164599     0.081188307       124.49399
2.750       31.667254     0.078055247       125.57511
2.750       32.169909     0.075199849       126.83430
2.750       33.175218     0.074363627       137.55367
2.750       34.180528     0.069355536       140.30970
2.750       35.185838     0.068581667       151.34985
2.750       36.191147     0.064412477       154.68468
2.750       37.196457     0.060951736       158.91360
2.750       38.201767     0.058588046       165.47394
2.750       39.207076     0.056181231       171.53584
2.750       40.212386     0.054654931       180.04420
2.750       41.217696     0.050827213       180.30911
2.750       42.223005     0.050257839       191.65559
2.750       43.228315     0.048221291       197.33950
2.750       44.233625     0.046314915       203.07138
2.750       45.238934     0.044577395       209.08459
2.750       46.244244     0.043927674       220.08047
2.750       47.249554     0.043027168       229.93556
2.750       48.254863     0.040409532       230.02622
2.750       49.260173     0.038619034       233.86189
2.750       50.265482     0.038146866       245.43624
2.750       51.270792     0.037348586       255.00841
2.750       52.276102     0.036979084       267.63074
2.750       53.281411     0.036081797       276.49391
2.750       54.286721     0.033801684       273.96143
2.750       55.292031     0.033497246       286.85801
2.750       56.297340     0.032878154       297.19488
2.750       57.302650     0.031246747       297.85109
2.750       58.307960     0.030805343       309.37117
2.750       59.313269     0.030358650       320.92851
2.750       60.318579     0.029206141       324.71155
2.750       61.323889     0.028239784       329.92915
2.750       62.329198     0.028141466       345.21654
2.750       63.334508     0.027581166       354.98016
2.750       64.339818     0.028225403       380.84643
2.750       66.350437     0.025988780       384.58072
2.750       68.361056     0.026014681       421.03196
2.750       70.371675     0.024469746       432.00960
2.750       72.382295     0.021942140       421.54726
2.750       74.392914     0.022876370       477.14687
2.750       76.403533     0.021508481       485.98217
2.750       78.414153     0.020871351       509.80510
2.750       80.424772     0.022024237       580.41771
2.750       82.435391     0.020727624       588.24858
2.750       84.446011     0.020334904       620.36858
2.750       86.456630     0.018761080       614.21866
2.750       88.467249     0.018297605       641.81827
2.750       90.477868     0.018452637       692.39795
2.750       92.488488     0.018112421       725.95518
2.750       94.499107     0.017294211       739.35689
2.750       96.509726     0.016390051       746.38655
2.750       98.520346     0.016232404       786.37716
2.750       100.53096     0.015703717       808.29944
2.750       102.54158     0.015911033       869.09790
2.750       104.55220     0.014843854       859.44187
2.750       106.56282     0.015472933       948.54960
2.750       108.57344     0.015440474       1001.1559
2.750       110.58406     0.015719521       1076.9293
2.750       112.59468     0.014129969       1021.7981
2.750       114.60530     0.015004446       1144.2063
2.750       116.61592     0.014602841       1173.2245
2.750       118.62654     0.013745265       1162.4358
2.750       120.63716     0.012427798       1105.3702
2.750       122.64778     0.014188811       1326.1582
2.750       124.65840     0.012980353       1273.8590
2.750       126.66902     0.013695690       1410.1502
2.750       128.67964     0.013411170       1447.6594
2.750       132.70087     0.012090588       1431.3275
2.750       136.72211     0.012188186       1578.0677
2.750       140.74335     0.010539160       1488.5379
2.750       144.76459     0.011386372       1750.0186
2.750       148.78583     0.010977866       1831.7783
2.750       152.80707     0.011104644       2007.2673
2.750       156.82831     0.010354655       2023.3883
2.750       160.84954     0.010946194       2307.7720
2.750       164.87078    0.0096053437       2180.7921
2.750       168.89202     0.011081563       2704.5729
2.750       172.91326    0.0096562974       2529.0987
2.750       176.93450    0.0099253503       2785.1825
